סעיף,יח',מחיר,תאור
57,,,קווי מים  ביוב ותיעול
57.0001,הערה,0,הערות כלליות
,,,"1. הנחיות כלליות לאחוזי קבלן ראשי - אם קיים בפרויקט (בתוספת למחירי קבלן עבודות מים ביוב ותיעול שלהלן) - ראה בתחילת חלק ג' - נספחים ועלויות בניה. תשומת לב המשתמש מופנית ל״הנחות יסוד לתמחיר מאגר המחירים"" המפורטות בתחילת החוברת; כמו כן לחישוב בתחילת חלק ג' עבור תוספת לפי אזורים (למחיר הכולל של הבניה) ותוספות או הפחתות בגין היקף העבודה."
,,,"2. כל העבודות בפרק זה כפופות לנאמר ב״מפרט כללי לעבודות בנין (""האוגדן הכחול"")  כולל אופני המדידה והתשלום  אלא אם צו״ן אחרת בסעיף."
,,,בסעיפים שאינם נכללים במפרט הכללי או מנוגדים לנאמר בו  יש להשתמש רק במקרים של דרישה מיוחדת.
,,,3. מחיר׳ הצינורות והאביזרים המונחים בקרקע כוללים את עבודת החפירה ו/או החציבה בכל סוג׳ הקרקע  פרט לסלע מוצק רצוף. תוספת עבור חציבה - ראה סעיף 57.011.0970
,,,4. במקרה של ביצוע עבודות צנרת בהם המזמין רוכש צינורות בנפרד  יש לחשב את עלות העבודה בהפחתת עלות הצנרת לפי פרק 87 (צנרת מים וביוב) ופרק 80 (צנרת ניקוז).
,,,"5. שים לב: בהתאם לעדכון המפרט הכללי פרק 07. השתנו אופני המדידה לצינורות: בצינורות שקוטרם מעל ""2  הספחים (קשתות  מעברי קוטר  הסתעפויות  רוכבים וכדי) ימדדו בנפרד  אך אורכיהם לא ינוכו מאורך הצינור. מחברים בין צינורות (למעט מתאמים בין סוג׳ צינורות שונים) כלולים במחיר הצינורות ולא ימדדו בנפרד."
,,,6. כל המחירים של חלקי המתכת הגלויים  צנרת ואביזרים  כוללים את הצביעה בהתאם למפרט.
,,,7. עבור צנרת ואביזרים בקטרים קטנים יותר - ראה פרק 07 - מתקני תברואה.
,,,"8. עלויות חומרים לעבודות פרק זה - ראה פרקים 80  82  87  בחוברת נפרדת ""מאגר מחיר׳ חומרי בניה""."
,,,9. כל המחירים כוללים חומר + עבודה + רווח ונקובים בשקלים חדשים (ללא מע״מ) והינם מחיר׳ קבלן עבודות מים  ביוב ותיעול.
57.01,,,אספקת מים קרים וחמים
,,,סה״כ לאספקת מים קרים וחמים
57.011,,,צינורות פלדה
,,,הערה: בסעיפים שלהלן בכל מקום שבו נרשם עבודות חפירה הכוונה עבודות החפירה ו/או החציבה בכל סוג׳ הקרקע  פרט לסלע מוצק רצוף. תוספת עבור חציבה בסלע מוצק - ראה סעיף 57.011.0215. מחיר׳ הצינורות המונחים בקרקע כוללים את עבודות החפירה ו/או החציבה הנ״ל.
